,Locality,Price,Number of bedrooms,Livable surface,Number of bathrooms,Balcony,Furnished,Surface of living-room,Elevator,Terrace,Surface terrace,Garden,Surface garden,Kitchen equipment_Fully equipped,Kitchen equipment_Not equipped,State of the property_New,State of the property_To be renovated,Type of property_house,Subtype of property_apartment,Subtype of property_villa
166,1,140000,1.0,26.0,1,0,0,17.0,1,0,0.0,1,50.0,0,0,0,0,0,1,0
167,1,297500,1.0,73.0,1,0,0,22.0,0,1,7.0,0,232.36314318736265,0,0,0,0,0,1,0
168,1,550000,2.0,100.0,1,0,0,47.0,0,1,21.0,0,318.3056755991269,0,0,0,0,0,1,0
169,1,299000,2.0,113.0,1,0,0,40.0,1,0,0.0,0,359.68541342701343,0,0,1,0,0,1,0
170,1,354600,2.0,111.0,1,0,0,32.511432736318135,0,0,0.0,0,353.3192999150309,0,0,0,0,0,1,0
171,1,315000,2.0,96.0,1,0,0,23.0,1,1,9.0,0,305.5734485751618,0,0,0,0,0,1,0
172,1,219000,2.0,85.0,2,0,0,24.89614218546884,0,0,0.0,0,270.5598242592579,0,0,0,1,0,1,0
173,1,285000,2.0,65.0,1,0,0,18.0,0,1,2.0,0,206.8986891394325,0,0,0,0,0,1,0
174,1,445000,2.0,113.0,1,0,0,33.097224317152694,1,0,0.0,0,359.68541342701343,0,0,0,0,0,1,0
175,1,130000,1.0,46.0,1,0,0,36.0,1,1,6.0,0,146.4206107755984,0,0,0,0,0,1,0
176,1,170000,2.0,86.0,1,0,0,25.18903797588612,0,1,6.0,0,273.7428810152492,0,0,0,0,0,1,0
177,1,395000,2.0,120.0,1,0,0,50.0,1,1,8.0,0,381.96681071895233,0,0,0,1,0,1,0
178,1,220000,1.0,60.0,1,0,1,17.573747425036828,1,1,10.0,0,190.98340535947617,0,0,0,0,0,1,0
179,1,395000,2.0,94.0,1,0,0,27.532204299224365,1,1,11.0,0,299.2073350631793,0,0,0,0,0,1,0
180,1,595000,3.0,156.0,2,0,0,45.69174330509576,0,0,0.0,1,50.0,0,0,0,0,0,1,0
181,1,225000,2.0,72.0,1,0,1,32.0,1,1,3.0,0,229.1800864313714,0,0,0,0,0,1,0
182,1,449000,3.0,121.0,1,0,0,34.0,1,1,9.0,0,385.1498674749436,0,0,0,1,0,1,0
183,1,315000,1.0,80.0,1,0,0,23.43166323338244,0,1,56.0,0,254.64454047930155,0,0,0,0,0,1,0
184,1,425000,2.0,91.0,1,0,0,24.0,1,1,9.0,0,289.6581647952055,0,0,1,0,0,1,0
185,1,425000,2.0,91.0,1,0,0,24.0,1,1,9.0,0,289.6581647952055,0,0,1,0,0,1,0
186,1,350000,1.0,100.0,1,0,0,29.289579041728047,0,1,15.0,0,318.3056755991269,0,0,0,0,0,1,0
187,1,192000,1.0,44.0,1,0,0,25.0,0,0,0.0,0,140.05449726361584,0,0,0,0,0,1,0
188,1,285000,1.0,75.0,1,0,0,21.967184281296035,1,1,10.0,0,238.7292566993452,0,0,0,0,0,1,0
189,1,200000,2.0,80.0,1,0,0,45.0,0,1,10.0,0,254.64454047930155,0,0,0,0,0,1,0
190,1,325000,2.0,100.0,1,0,0,29.289579041728047,0,0,0.0,1,50.0,0,0,0,0,0,1,0
191,1,450000,2.0,125.0,1,0,0,36.61197380216006,1,1,10.0,0,397.8820944989087,0,0,0,0,0,1,0
192,1,315000,2.0,98.0,1,0,0,28.703787460893487,1,0,0.0,0,311.9395620871444,0,0,0,0,0,1,0
193,1,219000,1.0,72.0,1,0,0,21.0884969100442,0,0,0.0,0,229.1800864313714,0,0,0,0,0,1,0
194,1,385000,3.0,137.0,2,0,0,40.12672328716742,1,0,0.0,0,436.0787755708039,0,0,0,0,0,1,0
195,1,545000,3.0,195.0,1,0,0,57.11467913136969,1,0,0.0,0,620.6960674182975,0,0,0,0,0,1,0
196,1,645000,3.0,157.0,1,0,0,45.98463909551303,1,0,0.0,0,499.7399106906293,0,1,0,0,0,1,0
197,1,249000,1.0,70.0,1,0,1,25.0,1,0,0.0,0,222.81397291938885,0,0,0,0,0,1,0
198,1,275000,1.0,78.0,1,0,0,22.84587165254788,0,0,0.0,0,248.278426967319,0,0,0,0,0,1,0
199,1,295000,1.0,88.0,1,0,0,25.77482955672068,0,0,0.0,0,280.1089945272317,0,0,0,0,0,1,0
200,1,185000,1.0,25.0,1,0,0,25.0,1,0,0.0,0,79.57641889978173,0,0,0,0,0,1,0
201,1,430000,2.0,130.0,1,0,0,38.07645275424646,1,1,25.0,0,413.797378278865,0,0,0,0,0,1,0
202,1,299000,1.0,65.0,1,0,0,19.03822637712323,1,0,0.0,0,206.8986891394325,0,0,0,0,0,1,0
203,1,395000,1.0,57.0,1,0,0,39.0,1,0,0.0,0,181.4342350915024,0,0,0,0,0,1,0
204,1,450000,2.0,95.0,1,0,0,30.0,1,0,0.0,0,302.3903918191706,0,0,0,0,0,1,0
205,1,275000,2.0,98.0,1,0,0,28.703787460893487,0,1,10.0,0,311.9395620871444,1,0,0,0,0,1,0
206,1,460000,2.0,92.0,1,0,0,26.946412718389805,1,1,8.0,0,292.8412215511968,0,0,0,0,0,1,0
